Srno,Department,Budget Head,Allocation
1,000108 Council Office,2101001 Salaries & Allowances,24200000
2,000108 Council Office,2101021 Wages (Muster Workers),100000
3,000108 Council Office,2102001 Remuneration & Fees - Mayor,10000000
4,000108 Council Office,2102061 Staff welfare expenses,200000
5,000108 Council Office,2201201 Telephone expenses,1000000
6,000108 Council Office,2201203 Postage/S.M.S/Courier Exp.,200000
7,000108 Council Office,2202001 Books/Magazines For Office,500000
8,000108 Council Office,2202003 Books and Periodicals for IMC Library,500000
9,000108 Council Office,2202004 Books/Periodicals For Safai Kamgar Library,50000
10,000108 Council Office,2202101 Printing expenses,500000
11,000108 Council Office,2202102 Stationery,900000
12,000108 Council Office,2203005 Travelling and Conveyance - Staff,500000
13,000108 Council Office,2204003 Insurance Exp. Ravindra Natya Grih,100000
14,000108 Council Office,2205110 Exp.For Legal Cases Due in court,100000
15,000108 Council Office,2206031 Shahnai Vadan (Cultural Events (Corporation),500000
16,000108 Council Office,2206032 Exp. on Organising Cultural Events At Historical Places,100000
17,000108 Council Office,2206042 Exp. on Guests,1500000
18,000108 Council Office,2206043 Photography / Designing & Publication Expenses,1000000
19,000108 Council Office,2206101 Membership Fees for all India Council of mayors / Sports Council,200000
20,000108 Council Office,2208001 Expenses for Meeting of Corporation / MIC,2500000
21,000108 Council Office,2208003 Corporation's Discretionary Expenses,1000000
22,000108 Council Office,2208004 Mayor's Discretionary Expenses,3000000
23,000108 Council Office,2208005 MIC's Discretionary Expenses,5000000
24,000108 Council Office,2208010 Exp. on Assistance/Grant Underule,5000000
25,000108 Council Office,2208051 Miscellaneous expenses,200000
26,000108 Council Office,2304003 Hire Charges of Sound Equipments,500000
27,000108 Council Office,2305065 Temporary Electricity Arrangement,100000
28,000108 Council Office,2305202 Electric and Sound Arrangement Exp.at Ravindra Bhawan,1000
29,000108 Council Office,2305504 Maintance Of office Equipment Photo-copiers,300000
30,000108 Council Office,2502001 Sports and Social Cultural Activity Exp.,12500000
31,000108 Council Office,2502002 Ganesh Visarjan Function/Procession Exp.,700000
32,000108 Council Office,2502003 Exp. on National Festival/Programs/Govt. Camps,200000
33,000108 Council Office,2502004 New Year Celebration (Gudi Padwa),2500000
34,000108 Council Office,2502005 26 Jan. & 15 Aug.National Festival Celebration,250000
35,000108 Council Office,2502007 Picnics/Functions for School Children,200000
36,000108 Council Office,2502008 Exp. on Mayor/Speaker Conference,500000
37,000108 Council Office,2502010 Expenditure on retired employees Honors Program,100000
38,000108 Council Office,2502012 Exp. on Socical Cultural Activities (Malwa Utsav),1500000
39,000108 Council Office,2502013 Exp. On Different Social/ Cultural/Neem Fastival/ Ahiliya Drama / World garden day (Marathon/Others),1000000
40,000108 Council Office,2502014 Exp. on Socical/Cultural Activivites (I.M.C. Contribution),1000000
41,000108 Council Office,2502015 Exp. on Mayor Wreslling competition,2000000
42,000108 Council Office,2502016 Exp. For Mayor Office,500000
43,000108 Council Office,2502017 Award for Best Corporator in Memory of Rajesh Joshi,2100000
44,000108 Council Office,2502020 Programme Organised by District Administration & Law & Safety Exp.,2000000
45,000108 Council Office,2502021 Brmhlin Laxman Singh God the memory distribute sewing respectively h Expenditures,2000000
46,000108 Council Office,2502024 Exhibition & Social Works,500000
47,000108 Council Office,2503001 Contribution to Lata Mangeshkar Prize,600000
48,000108 Council Office,2503002 Contribution to functions of District Administration(Jhanda Uncha Rahe Hamara),200000
49,000108 Council Office,2503003 Contribution to functions of State Administration,1000000
50,000108 Council Office,2503005 IMC Contribution to Ahilya Prizes,500000
51,000108 Council Office,2503006 IMC Contribution In Ganesh Visarjan Jhanki,2000000
52,000108 Council Office,2503008 Antonday Fair organized by the state government expenditures on,3000000
53,000108 Council Office,2503010 Support for cultural activities / grants expenditure,2500000
54,000108 Council Office,2503013 organized by the district administration and Corporation Rahgiri Day arrangements expenditure,1200000
55,000108 Council Office,2503014 Heavenly Prakesh Sonkar Memory Grant for Gold Club Tournament,100000
56,000108 Council Office,2601005 A.I.C.T.S.L for the subsidy to the student /pass Expenditure,5000000
57,000108 Council Office,2601006 Senior Citizen / Disabled / Blind / Mukvdir / disabled persons to pass the subsidy / grant expenditure to A.I.C.T.S.L,7500000
58,000108 Council Office,2602001 IMC Contribution/Grant For Om Nagpal Library,400000
59,000108 Council Office,4106004 Purchase of Photo-copiers,200000
60,000108 Council Office,4106011 Purchase of Office Equipment,200000
61,000108 Council Office,4107001 Purchase of Furniture,2500000
62,000108 Council Office,4108016 Expenditure on City center E library,5000000
63,000109 Public Relation Office,2201221 Postage/Courier expenses,300000
64,000109 Public Relation Office,"2202005 Table, Diaries and Calender/ Publication",300000
65,000109 Public Relation Office,2202106 Printing & Stationary Exp.,600000
66,000109 Public Relation Office,2203005 Travelling and Conveyance - Staff,50000
67,000109 Public Relation Office,2206001 Publicity & Advertisement Expenses,20000000
68,000109 Public Relation Office,2206002 Tenders Advertisement Expenses,30000000
69,000109 Public Relation Office,2206004 Issue of Notices,25000
70,000109 Public Relation Office,2206012 Publications expenses of citizen edition on E-News (citizen) Social Media,3000000
71,000109 Public Relation Office,2206022 Publication of Periodicals/Magazines/Others,2000000
72,000109 Public Relation Office,2206043 Photography / Designing & Publication Expenses,2500000
73,000109 Public Relation Office,2206044 Documentary and Video Films,2500000
74,000109 Public Relation Office,2208002 Exp. On Reception of V.I.P.Guests expenses,200000
75,000109 Public Relation Office,2208007 Exp. on Protocool,1100000
76,000109 Public Relation Office,4106025 Purchase of office Equipments,200000
77,000201 Municipal Commissioner's Office,2101001 Salaries & Allowances,42350000
78,000201 Municipal Commissioner's Office,2101021 Wages (Muster Workers),400000000
79,000201 Municipal Commissioner's Office,2101035 Compensation in Death of Muster Employees,12500000
80,000201 Municipal Commissioner's Office,2102031 Medical Allowance/Expenses,500000
